 created by the TBmodels package    Fri, 25 Jul 2025 17:10:29 JST
          16
          75
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1   -2   -1   11    3      0.00000000000000      0.00000000000000
    1   -2   -1   12    3      0.00000000000000      0.00000000000000
    1   -2   -1   13    3      0.00000000000000      0.00000000000000
    1   -2   -1   14    3      0.00000000000000      0.00000000000000
    1   -2   -1   15    3      0.00000000000000      0.00000000000000
    1   -2   -1   16    3      0.00000000000000      0.00000000000000
    1   -2   -1    1    4      0.00000000000000      0.00000000000000
    1   -2   -1    2    4      0.00000000000000      0.00000000000000
    1   -2   -1    3    4      0.00000000000000      0.00000000000000
    1   -2   -1    4    4      0.00000000000000      0.00000000000000
    1   -2   -1    5    4      0.00000000000000      0.00000000000000
    1   -2   -1    6    4      0.00000000000000      0.00000000000000
    1   -2   -1    7    4      0.00000000000000      0.00000000000000
    1   -2   -1    8    4      0.00000000000000      0.00000000000000
    1   -2   -1    9    4      0.00000000000000      0.00000000000000
    1   -2   -1   10    4      0.00000000000000      0.00000000000000
    1   -2   -1   11    4      0.00000000000000      0.00000000000000
    1   -2   -1   12    4      0.00000000000000      0.00000000000000
    1   -2   -1   13    4      0.00000000000000      0.00000000000000
    1   -2   -1   14    4      0.00000000000000      0.00000000000000
    1   -2   -1   15    4      0.00000000000000      0.00000000000000
    1   -2   -1   16    4      0.00000000000000      0.00000000000000
    1   -2   -1    1    5      0.00000000000000      0.00000000000000
    1   -2   -1    2    5      0.00000000000000      0.00000000000000
    1   -2   -1    3    5      0.00000000000000      0.00000000000000
    1   -2   -1    4    5      0.00000000000000      0.00000000000000
    1   -2   -1    5    5      0.00000000000000      0.00000000000000
    1   -2   -1    6    5      0.00000000000000      0.00000000000000
    1   -2   -1    7    5      0.00000000000000      0.00000000000000
    1   -2   -1    8    5      0.00000000000000      0.00000000000000
    1   -2   -1    9    5      0.00000000000000      0.00000000000000
    1   -2   -1   10    5      0.00000000000000      0.00000000000000
    1   -2   -1   11    5      0.00000000000000      0.00000000000000
    1   -2   -1   12    5      0.00000000000000      0.00000000000000
    1   -2   -1   13    5      0.00000000000000      0.00000000000000
    1   -2   -1   14    5      0.00000000000000      0.00000000000000
    1   -2   -1   15    5      0.00000000000000      0.00000000000000
    1   -2   -1   16    5      0.00000000000000      0.00000000000000
    1   -2   -1    1    6      0.00000000000000      0.00000000000000
    1   -2   -1    2    6      0.00000000000000      0.00000000000000
    1   -2   -1    3    6      0.00000000000000      0.00000000000000
    1   -2   -1    4    6      0.00000000000000      0.00000000000000
    1   -2   -1    5    6      0.00000000000000      0.00000000000000
    1   -2   -1    6    6      0.00000000000000      0.00000000000000
    1   -2   -1    7    6      0.00000000000000      0.00000000000000
    1   -2   -1    8    6      0.00000000000000      0.00000000000000
    1   -2   -1    9    6      0.00000000000000      0.00000000000000
    1   -2   -1   10    6      0.00000000000000      0.00000000000000
    1   -2   -1   11    6      0.00000000000000      0.00000000000000
    1   -2   -1   12    6      0.00000000000000      0.00000000000000
    1   -2   -1   13    6      0.00000000000000      0.00000000000000
    1   -2   -1   14    6      0.00000000000000      0.00000000000000
    1   -2   -1   15    6      0.00000000000000      0.00000000000000
    1   -2   -1   16    6      0.00000000000000      0.00000000000000
    1   -2   -1    1    7      0.00000000000000      0.00000000000000
    1   -2   -1    2    7      0.00000000000000      0.00000000000000
    1   -2   -1    3    7      0.00000000000000      0.00000000000000
    1   -2   -1    4    7      0.00000000000000      0.00000000000000
    1   -2   -1    5    7      0.00000000000000      0.00000000000000
    1   -2   -1    6    7      0.00000000000000      0.00000000000000
    1   -2   -1    7    7      0.00000000000000      0.00000000000000
    1   -2   -1    8    7      0.00000000000000      0.00000000000000
    1   -2   -1    9    7      0.00000000000000      0.00000000000000
    1   -2   -1   10    7      0.00000000000000      0.00000000000000
    1   -2   -1   11    7      0.00000000000000      0.00000000000000
    1   -2   -1   12    7      0.00000000000000      0.00000000000000
    1   -2   -1   13    7      0.00000000000000      0.00000000000000
    1   -2   -1   14    7      0.00000000000000      0.00000000000000
    1   -2   -1   15    7      0.00000000000000      0.00000000000000
    1   -2   -1   16    7      0.00000000000000      0.00000000000000
    1   -2   -1    1    8      0.00000000000000      0.00000000000000
    1   -2   -1    2    8      0.00000000000000      0.00000000000000
    1   -2   -1    3    8      0.00000000000000      0.00000000000000
    1   -2   -1    4    8      0.00000000000000      0.00000000000000
    1   -2   -1    5    8      0.00000000000000      0.00000000000000
    1   -2   -1    6    8      0.00000000000000      0.00000000000000
    1   -2   -1    7    8      0.00000000000000      0.00000000000000
    1   -2   -1    8    8      0.00000000000000      0.00000000000000
    1   -2   -1    9    8      0.00000000000000      0.00000000000000
    1   -2   -1   10    8      0.00000000000000      0.00000000000000
    1   -2   -1   11    8      0.00000000000000      0.00000000000000
    1   -2   -1   12    8      0.00000000000000      0.00000000000000
    1   -2   -1   13    8      0.00000000000000      0.00000000000000
    1   -2   -1   14    8      0.00000000000000      0.00000000000000
    1   -2   -1   15    8      0.00000000000000      0.00000000000000
    1   -2   -1   16    8      0.00000000000000      0.00000000000000
    1   -2   -1    1    9      0.00000000000000      0.00000000000000
    1   -2   -1    2    9      0.00000000000000      0.00000000000000
    1   -2   -1    3    9      0.00000000000000      0.00000000000000
    1   -2   -1    4    9      0.00000000000000      0.00000000000000
    1   -2   -1    5    9      0.00000000000000      0.00000000000000
    1   -2   -1    6    9      0.00000000000000      0.00000000000000
    1   -2   -1    7    9      0.00000000000000      0.00000000000000
    1   -2   -1    8    9      0.00000000000000      0.00000000000000
    1   -2   -1    9    9      0.00000000000000      0.00000000000000
    1   -2   -1   10    9      0.00000000000000      0.00000000000000
    1   -2   -1   11    9      0.00000000000000      0.00000000000000
    1   -2   -1   12    9      0.00000000000000      0.00000000000000
    1   -2   -1   13    9      0.00000000000000      0.00000000000000
    1   -2   -1   14    9      0.00000000000000      0.00000000000000
    1   -2   -1   15    9      0.00000000000000      0.00000000000000
    1   -2   -1   16    9      0.00000000000000      0.00000000000000
    1   -2   -1    1   10      0.00000000000000      0.00000000000000
    1   -2   -1    2   10      0.00000000000000      0.00000000000000
    1   -2   -1    3   10      0.00000000000000      0.00000000000000
    1   -2   -1    4   10      0.00000000000000      0.00000000000000
    1   -2   -1    5   10      0.00000000000000      0.00000000000000
    1   -2   -1    6   10      0.00000000000000      0.00000000000000
    1   -2   -1    7   10      0.00000000000000      0.00000000000000
    1   -2   -1    8   10      0.00000000000000      0.00000000000000
    1   -2   -1    9   10      0.00000000000000      0.00000000000000
    1   -2   -1   10   10      0.00000000000000      0.00000000000000
    1   -2   -1   11   10      0.00000000000000      0.00000000000000
    1   -2   -1   12   10      0.00000000000000      0.00000000000000
    1   -2   -1   13   10      0.00000000000000      0.00000000000000
    1   -2   -1   14   10      0.00000000000000      0.00000000000000
    1   -2   -1   15   10      0.00000000000000      0.00000000000000
    1   -2   -1   16   10      0.00000000000000      0.00000000000000
    1   -2   -1    1   11      0.00000000000000      0.00000000000000
    1   -2   -1    2   11      0.00000000000000      0.00000000000000
    1   -2   -1    3   11      0.00000000000000      0.00000000000000
    1   -2   -1    4   11      0.00000000000000      0.00000000000000
    1   -2   -1    5   11      0.00000000000000      0.00000000000000
    1   -2   -1    6   11      0.00000000000000      0.00000000000000
    1   -2   -1    7   11      0.00000000000000      0.00000000000000
    1   -2   -1    8   11      0.00000000000000      0.00000000000000
    1   -2   -1    9   11      0.00000000000000      0.00000000000000
    1   -2   -1   10   11      0.00000000000000      0.00000000000000
    1   -2   -1   11   11      0.00000000000000      0.00000000000000
    1   -2   -1   12   11      0.00000000000000      0.00000000000000
    1   -2   -1   13   11      0.00000000000000      0.00000000000000
    1   -2   -1   14   11      0.00000000000000      0.00000000000000
    1   -2   -1   15   11      0.00000000000000      0.00000000000000
    1   -2   -1   16   11      0.00000000000000      0.00000000000000
    1   -2   -1    1   12      0.00000000000000      0.00000000000000
    1   -2   -1    2   12      0.00000000000000      0.00000000000000
    1   -2   -1    3   12      0.00000000000000      0.00000000000000
    1   -2   -1    4   12     -0.02160301619461      0.00000000000000
    1   -2   -1    5   12     -0.02162992196034      0.00000000000000
